[s]	rid
mhs:MeasurementOOA.3.1.1thru3.2.2.5-197	MDC_ATTR_VMO_REF
mhs:MeasurementOOA.3.1.1thru3.2.2.5-20	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-210	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-213	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-221	MDC_MOC_VMS_MDS_SIMP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-229	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-242	MDC_ATTR_SYS_TYPE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-243	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-247	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-250	MDC_ATTR_ID_COMPAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-256	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-259	MDC_ATTR_EXT_OBJ_RELATION
mhs:MeasurementOOA.3.1.1thru3.2.2.5-267	MDC_ATTR_PT_TYPE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-269	MDC_ATTR_TIME_ABS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-270	MDC_ATTR_TIME_REL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-271	MDC_ATTR_TIME_REL_HI_RES
mhs:MeasurementOOA.3.1.1thru3.2.2.5-281	MDC_ATTR_POWER_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-283	MDC_ATTR_VAL_BATT_CHARGE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-285	MDC_ATTR_TIME_BATT_REMAIN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-306	MDC_ATTR_GRP_RELATION
mhs:MeasurementOOA.3.1.1thru3.2.2.5-314	MDC_ACT_SET_TIME
mhs:MeasurementOOA.3.1.1thru3.2.2.5-33	MDC_ATTR_ID_LABEL_STRING
mhs:MeasurementOOA.3.1.1thru3.2.2.5-333	MDC_ATTR_VMO_REF
mhs:MeasurementOOA.3.1.1thru3.2.2.5-339	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-34	MDC_ATTR_EXT_OBJ_RELATION
mhs:MeasurementOOA.3.1.1thru3.2.2.5-346	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-356	MDC_ATTR_UNIT_CODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-364	MDC_ATTR_AL_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-365	MDC_ATTR_LIMIT_CURR
mhs:MeasurementOOA.3.1.1thru3.2.2.5-367	MDC_ATTR_ID_PHYSIO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-37	MDC_ATTR_ID_MODEL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-371	MDC_ATTR_GRP_VMO_STATIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-374	MDC_ATTR_GRP_VMO_DYN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-385	MDC_MOC_SCAN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-386	MDC_MOC_SCAN_CFG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-387	MDC_MOC_SCAN_CFG_EPI
mhs:MeasurementOOA.3.1.1thru3.2.2.5-388	MDC_MOC_SCAN_CFG_PERI
mhs:MeasurementOOA.3.1.1thru3.2.2.5-39	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-395	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-408	MDC_ATTR_ID_INSTNO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-412	MDC_ATTR_OP_STAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-416	MDC_ATTR_CONFIRM_MODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-417	MDC_ATTR_CONFIRM_TIMEOUT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-423	MDC_ATTR_SCAN_REP_PD
mhs:MeasurementOOA.3.1.1thru3.2.2.5-43	MDC_ATTR_ID_PROD_SPECN
mhs:MeasurementOOA.3.1.1thru3.2.2.5-446	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-46	MDC_ATTR_ID_COMPAT
mhs:MeasurementOOA.3.1.1thru3.2.2.5-474	MDC_ATTR_ID_HANDLE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-487	MDC_ATTR_SYS_ID
mhs:MeasurementOOA.3.1.1thru3.2.2.5-502	MDC_ATTR_TIME_START
mhs:MeasurementOOA.3.1.1thru3.2.2.5-506	MDC_ATTR_TIME_STOP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-524	MDC_ATTR_CODE_DIAGNOSTIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-527	MDC_ATTR_Code_Procedure
